trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.33299999999999985, 'e': 0.00019047679864187035}",25,15,17.922535110879554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.33199999999999985, 'e': 0.00018095295870977683}",30,23,14.091305455336967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.33099999999999985, 'e': 0.00017190531077428798}",25,3,34.067779047914854,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.32999999999999985, 'e': 0.00016331004523557357}",35,19,8.972816243120624,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
171,False,"{'a': 0.32899999999999985, 'e': 0.00015514454297379488}",30,17,25.176434325520397,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.32799999999999985, 'e': 0.00014738731582510513}",30,13,30.47131142365252,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.32699999999999985, 'e': 0.00014001795003384986}",25,19,13.251989436411124,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.32599999999999985, 'e': 0.00013301705253215737}",25,20,7.837715983690642,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.32499999999999984, 'e': 0.0001263661999055495}",30,12,32.991156960770425,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.32399999999999984, 'e': 0.000120047889910272}",25,10,28.217604852322875,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.32299999999999984, 'e': 0.0001140454954147584}",20,10,16.155790052495043,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.32199999999999984, 'e': 0.00010834322064402047}",20,9,15.928508972167645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.32099999999999984, 'e': 0.00010292605961181944}",20,9,18.876889349133776,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.31999999999999984, 'e': 9.777975663122846e-05}",25,19,9.205951621472696,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,23.356639280478696,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,12.256950097646632,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,7,20.131259493473916,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,17.963298354031462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,10,28.290541911677895,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,26.252655976324984,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,14.463855680869067,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,16.779160265666803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,26.132570264707063,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,20,20.61242859516764,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
